2026-02-02 02:06:38,987 [INFO] Logger initialized
2026-02-02 02:20:30,901 [INFO] [SCRAPE] BTCUSDT price = 77,206.90 USDT
2026-02-02 02:20:36,468 [INFO] [SCRAPE] BTCUSDT price = 77,206.91 USDT
2026-02-02 02:20:42,026 [INFO] [SCRAPE] BTCUSDT price = 77,212.82 USDT
2026-02-02 02:20:47,690 [INFO] [SCRAPE] BTCUSDT price = 77,213.06 USDT
2026-02-02 02:20:53,260 [INFO] [SCRAPE] BTCUSDT price = 77,194.01 USDT
2026-02-02 02:20:58,826 [INFO] [SCRAPE] BTCUSDT price = 77,223.64 USDT
2026-02-02 02:21:04,573 [INFO] [SCRAPE] BTCUSDT price = 77,211.61 USDT
2026-02-02 02:21:10,619 [INFO] [SCRAPE] BTCUSDT price = 77,241.36 USDT
2026-02-02 02:21:16,483 [INFO] [SCRAPE] BTCUSDT price = 77,228.87 USDT
2026-02-02 02:21:22,128 [INFO] [SCRAPE] BTCUSDT price = 77,228.87 USDT
2026-02-02 02:21:27,804 [INFO] [SCRAPE] BTCUSDT price = 77,207.01 USDT
2026-02-02 02:21:33,384 [INFO] [SCRAPE] BTCUSDT price = 77,212.40 USDT
2026-02-02 02:21:38,928 [INFO] [SCRAPE] BTCUSDT price = 77,204.21 USDT
2026-02-02 02:21:44,553 [INFO] [SCRAPE] BTCUSDT price = 77,186.65 USDT
2026-02-02 02:21:50,133 [INFO] [SCRAPE] BTCUSDT price = 77,186.64 USDT
2026-02-02 02:21:55,811 [INFO] [SCRAPE] BTCUSDT price = 77,138.16 USDT
2026-02-02 02:22:01,514 [INFO] [SCRAPE] BTCUSDT price = 77,137.81 USDT
2026-02-02 02:22:07,125 [INFO] [SCRAPE] BTCUSDT price = 77,105.75 USDT
2026-02-02 02:22:12,687 [INFO] [SCRAPE] BTCUSDT price = 77,070.70 USDT
2026-02-02 02:22:18,325 [INFO] [SCRAPE] BTCUSDT price = 77,040.37 USDT
2026-02-02 02:22:23,939 [INFO] [SCRAPE] BTCUSDT price = 77,052.02 USDT
2026-02-02 02:22:29,702 [INFO] [SCRAPE] BTCUSDT price = 77,079.61 USDT
2026-02-02 02:22:35,313 [INFO] [SCRAPE] BTCUSDT price = 77,124.63 USDT
2026-02-02 02:22:40,996 [INFO] [SCRAPE] BTCUSDT price = 77,121.27 USDT
2026-02-02 02:22:46,570 [INFO] [SCRAPE] BTCUSDT price = 77,111.41 USDT
2026-02-02 02:22:52,148 [INFO] [SCRAPE] BTCUSDT price = 77,131.61 USDT
2026-02-02 02:22:57,834 [INFO] [SCRAPE] BTCUSDT price = 77,160.00 USDT
2026-02-02 02:23:03,652 [INFO] [SCRAPE] BTCUSDT price = 77,174.99 USDT
2026-02-02 02:23:09,375 [INFO] [SCRAPE] BTCUSDT price = 77,173.99 USDT
